epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1884.84,0.0067,0.92609,1.13554,0.654,0.67083,0.64957,0.3743,0.01064,2.12527,1.74017,0.000155761,0.000155761,0.000155761
92,1905.42,0.00653,0.89007,1.11255,0.64113,0.67458,0.66022,0.39296,0.0105,2.08641,1.70337,0.000141614,0.000141614,0.000141614
93,1925.77,0.00639,0.8768,1.108,0.68392,0.65172,0.66362,0.39656,0.0105,2.07694,1.72322,0.000127467,0.000127467,0.000127467
94,1946.34,0.00632,0.85173,1.09124,0.68785,0.63203,0.65462,0.38312,0.01064,2.11191,1.7505,0.00011332,0.00011332,0.00011332
95,1966.84,0.00624,0.83582,1.08436,0.63409,0.66932,0.65146,0.38208,0.01066,2.14944,1.76897,9.91726e-05,9.91726e-05,9.91726e-05
96,1987,0.00633,0.84384,1.09208,0.68127,0.63881,0.65009,0.38694,0.01054,2.11263,1.75156,8.50255e-05,8.50255e-05,8.50255e-05
97,2007.4,0.00615,0.81482,1.07751,0.67918,0.6471,0.64518,0.3849,0.01053,2.1068,1.76145,7.08784e-05,7.08784e-05,7.08784e-05
98,2027.92,0.00615,0.81881,1.0804,0.67786,0.64885,0.64876,0.38565,0.01043,2.09273,1.76063,5.67313e-05,5.67313e-05,5.67313e-05
99,2048.08,0.00605,0.80869,1.07935,0.666,0.66496,0.64883,0.38655,0.01046,2.10184,1.76454,4.25842e-05,4.25842e-05,4.25842e-05
100,2068.57,0.00601,0.79897,1.06063,0.68149,0.66101,0.65883,0.39053,0.01054,2.11686,1.77435,2.84371e-05,2.84371e-05,2.84371e-05
